"stone","zone","tomb","form","material","ulx","uly","lrx","lry","condition"
"S402","Zona Vecchia",,"PLB","stone",969.95575,562.457276,976.738528,565.725506,"bad"
"S403","Zona Vecchia",,"CROSS","stone",988.137969,566.695754,993.540954,570.965963,"very poor"
"S404","Zona Vecchia",2,"HEAD","stone",996.98515,566.907677,1003.053312,569.813689,"reasonable"
"S405","Zona Vecchia",2,"PLB","stone",1005.792911,566.774155,1011.518682,570.017028,"bad"
"S406","Zona Vecchia",,"CROSS","stone",1024.317522,572.056931,1028.643876,575.611135,"bad"
"S407","Zona Vecchia",1661,"PLG","stone",1042.822318,574.922817,1049.008774,581.972133,"reasonable"
"S408","Zona Vecchia",1477,"HEAD","stone",1051.093181,573.736809,1060.322208,576.37381,"excellent"
"S409","Zona Vecchia",,"LEDG","stone",1061.992482,572.2816,1072.35024,589.781758,"reasonable"
"S410","Zona Vecchia",,"LEDG","stone",1075.027909,571.214138,1084.720509,590.078285,"excellent"
"S411","Zona Vecchia",1663,"HEAD","stone",1090.630939,571.578513,1098.10833,574.51864,"good"
"S412","Zona Vecchia",1667,"HEAD","stone",1104.018778,572.246015,1111.838577,574.849108,"excellent"
"S413","Zona Vecchia",1666,"CROSS","stone",1117.551857,577.755311,1122.612433,582.36219,"good"
"S414","Zona Vecchia",403,"PLB","stone",1128.0718,578.700011,1134.57123,584.376545,"excellent"
"S415","Zona Vecchia",,"COL","stone",1179.282519,581.318406,1191.6062,593.690416,"bad"
"S416","Zona Vecchia",1048,"PED","stone",1196.967086,578.289442,1209.320393,591.697373,"good"
"S417","Zona Vecchia",,"LEDG","stone",1213.759683,577.410097,1223.373408,598.797368,"reasonable"
"S418","Zona Vecchia",519,"HEAD","stone",1227.773279,578.344679,1236.820498,599.263534,"excellent"
"S419","Zona Vecchia",,"LEDG","stone",1239.781515,578.632829,1250.91295,598.566839,"bad"
"S420","Zona Vecchia",,"LEDG","stone",1256.49707,582.805267,1264.880421,594.878088,"good"
"S421","Zona Vecchia",2,"PLG","stone",1276.613563,610.604372,1283.494822,617.325205,"good"
"S422","Zona Vecchia",,"LEDG","stone",1254.092499,609.725119,1268.707775,628.362592,"reasonable"
"S423","Zona Vecchia",,"LEDG","stone",1242.779083,614.632759,1250.944142,629.319904,"reasonable"
"S424","Zona Vecchia",270,"COL","stone",1234.02344,611.305093,1239.054408,614.876242,"good"
"S425","Zona Vecchia",1653,"HEAD","stone",1215.782178,607.411854,1226.822075,611.81776,"good"
"S426","Zona Vecchia",933,"LEDG","stone",1201.216151,607.418073,1211.310583,628.017012,"good"
"S427","Zona Vecchia",30,"CROSS","stone",1135.622707,600.300774,1143.119911,603.931394,"reasonable"
"S428","Zona Vecchia",,"CROSS","stone",1111.906718,599.050944,1123.762581,619.692202,"good"
"S429","Zona Vecchia",,"CROSS","stone",1096.757258,598.341313,1108.270712,619.319432,"good"
"S430","Zona Vecchia",633,"CROSS","stone",1082.312602,597.9939,1093.825866,618.971829,"good"
"S431","Zona Vecchia",633,"CROSS","stone",1068.924764,597.671827,1079.733413,618.632983,"good"
"S432","Zona Vecchia",,"LEDG","stone",1053.110127,596.945061,1064.241562,616.879054,"reasonable"
"S433","Zona Vecchia",1551,"HEAD","stone",1040.185861,596.277922,1048.749693,600.279137,"good"
"S434","Zona Vecchia",,"LEDG","stone",1026.876266,595.9558480000001,1036.771083,615.828259,"unrecorded"
"S435","Zona Vecchia",344,"PLB","stone",1016.139953,597.773067,1022.267366,602.750732,"reasonable"
"S436","Zona Vecchia",,"PED","stone",989.450284,598.518474,1002.145999,611.589562,"good"
"S437","Zona Vecchia",,"HEAD","stone",968.900708,598.018591,981.359817,602.803469,"reasonable"
"S438","Zona Vecchia",560,"PLB","stone",961.913438,595.777525,966.621811,600.376027,"good"
"S439","Zona Vecchia",730,"PLB","stone",951.255387,600.011634,956.276526,603.237544,"good"
"S440","Zona Vecchia",,"CROSS","stone",940.050435,596.287844,946.510446,600.583392,"good"
